tunefamily,pattern,frequency,salience
Daar_reed_een_jonkheer_1,3_3_3_3_3,26,0.2756996225044992
Daar_reed_een_jonkheer_1,3_3_3_3,32,0.2650784996313068
Daar_reed_een_jonkheer_1,3_3_3_3_3_3,21,0.2650237234883162
Daar_reed_een_jonkheer_1,3_3,59,0.23288650616136494
Daar_reed_een_jonkheer_1,3_3_3,40,0.23093239447859423
Daar_reed_een_jonkheer_1,1_1,38,0.15565554801514608
Daar_reed_een_jonkheer_1,5_3,37,0.14604746996560172
Daar_reed_een_jonkheer_1,3_5,33,0.1302585542936448
Daar_reed_een_jonkheer_1,3_1,33,0.1302585542936448
Daar_reed_een_jonkheer_1,10_8,32,0.12631132537565556
Daar_reed_een_jonkheer_1,1_12,30,0.11841686753967709
Daar_reed_een_jonkheer_1,1_3,27,0.10657518078570938
Een_Soudaan_had_een_dochtertje_1,10_8,42,0.1608838272941623
Een_Soudaan_had_een_dochtertje_1,8_8,41,0.15705325997763464
Een_Soudaan_had_een_dochtertje_1,10_10,37,0.15263875531793777
Een_Soudaan_had_een_dochtertje_1,10_6_8_10_8,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_10_6_8_10_8,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_10_6_8_10,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_10_6_8,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_6_8_10,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_10_10_6_8,10,0.13800345360654623
Een_Soudaan_had_een_dochtertje_1,10_10_10_6_8_10,10,0.13800345360654623
Een_Soudaan_had_een_dochtertje_1,8_10,33,0.1311794280526555
Een_Soudaan_had_een_dochtertje_1,5_3,30,0.11491701949583022
Een_Soudaan_had_een_dochtertje_1,8_5,26,0.09959475022971953
Een_Soudaan_had_een_dochtertje_1,8_1,24,0.09193361559666417
Een_Soudaan_had_een_dochtertje_1,10_8_8,23,0.09142808621851747
Een_Soudaan_had_een_dochtertje_1,3_1,23,0.0881030482801365
Een_Soudaan_had_een_dochtertje_1,6_8,21,0.08663280707234305
Er_woonde_een_vrouwtje_al_over_het_bos,8_8,80,0.2203617714209492
Er_woonde_een_vrouwtje_al_over_het_bos,5_3,70,0.19281654999333056
Er_woonde_een_vrouwtje_al_over_het_bos,3_1,65,0.17904393927952122
Er_woonde_een_vrouwtje_al_over_het_bos,8_5,60,0.16527132856571192
Er_woonde_een_vrouwtje_al_over_het_bos,8_5_3_1_6_5,17,0.14971604019213605
Er_woonde_een_vrouwtje_al_over_het_bos,8_5_3_1_6,17,0.14971604019213605
Er_woonde_een_vrouwtje_al_over_het_bos,10_8,51,0.1404806292808551
Er_woonde_een_vrouwtje_al_over_het_bos,3_1_6_5,18,0.13319541723422698
Er_woonde_een_vrouwtje_al_over_het_bos,5_3_1_6_5,18,0.13319541723422698
Er_woonde_een_vrouwtje_al_over_het_bos,5_3_1_6,18,0.13319541723422698
Er_woonde_een_vrouwtje_al_over_het_bos,6_5,47,0.12946254070980767
Er_woonde_een_vrouwtje_al_over_het_bos,8_10,45,0.12863154203395707
Er_woonde_een_vrouwtje_al_over_het_bos,5_8,43,0.12291458461022566
Er_woonde_een_vrouwtje_al_over_het_bos,5_3_1,43,0.1184444521387602
Er_woonde_een_vrouwtje_al_over_het_bos,8_10_8,34,0.10086144317984548
Een_lindeboom_stond_in_het_dal_1,8_5_8_1,11,0.15924633911373373
Een_lindeboom_stond_in_het_dal_1,8_5_8,18,0.14985740011806103
Een_lindeboom_stond_in_het_dal_1,6_8_12,8,0.14339603608040424
Een_lindeboom_stond_in_het_dal_1,5_8_5_8,6,0.13316820924248757
Een_lindeboom_stond_in_het_dal_1,5_8_5_8_1,6,0.13316820924248757
Een_lindeboom_stond_in_het_dal_1,5_8_5_8_1_5,6,0.13316820924248757
Een_lindeboom_stond_in_het_dal_1,12_6,6,0.13316820924248757
Een_lindeboom_stond_in_het_dal_1,8_5,21,0.1293724336658253
Een_lindeboom_stond_in_het_dal_1,5_8,19,0.12146880205437813
Een_lindeboom_stond_in_het_dal_1,8_5_8_1_5,6,0.11818077844176467
Een_lindeboom_stond_in_het_dal_1,3_1,19,0.11705124950717526
Een_lindeboom_stond_in_het_dal_1,8_1,17,0.10473006534852522
Een_lindeboom_stond_in_het_dal_1,8_12,11,0.10322521494254643
Een_lindeboom_stond_in_het_dal_1,8_8,16,0.09856947326920021
Een_lindeboom_stond_in_het_dal_1,6_6,12,0.08263446379042301
Een_lindeboom_stond_in_het_dal_1,12_10,12,0.07392710495190016
Een_lindeboom_stond_in_het_dal_1,10_8,11,0.06776651287257515
Het_was_laatst_op_een_zomerdag,8_8,54,0.18736724532774915
Het_was_laatst_op_een_zomerdag,8_10,47,0.16923354983563085
Het_was_laatst_op_een_zomerdag,10_8,48,0.1665486625135548
Het_was_laatst_op_een_zomerdag,12_10_10_8_8_10,15,0.16640421159712904
Het_was_laatst_op_een_zomerdag,10_10_8_8_10_8,13,0.16250626940224666
Het_was_laatst_op_een_zomerdag,10_8_8_10_8_8,14,0.1553105974906538
Het_was_laatst_op_een_zomerdag,8_8_10_8_8_1,13,0.13124052844360284
Het_was_laatst_op_een_zomerdag,1_12_10_10_8_8,16,0.13045905057090915
Het_was_laatst_op_een_zomerdag,10_10_8_8_10,15,0.13032835664484765
Het_was_laatst_op_een_zomerdag,1_1,35,0.12602498392015066
Het_was_laatst_op_een_zomerdag,8_1,36,0.1249114968851661
Het_was_laatst_op_een_zomerdag,1_12,34,0.11797196928043464
Het_was_laatst_op_een_zomerdag,12_1,34,0.11797196928043464
Het_was_laatst_op_een_zomerdag,10_8_8,31,0.11162212861499057
Het_was_laatst_op_een_zomerdag,6_5,31,0.10756267787333748
Het_was_laatst_op_een_zomerdag,5_8,27,0.0972192733098305
Soldaat_kwam_uit_de_oorlog,5_3,77,0.20942693825127778
Soldaat_kwam_uit_de_oorlog,8_8,72,0.19582778641677923
Soldaat_kwam_uit_de_oorlog,3_1,67,0.18222863458228067
Soldaat_kwam_uit_de_oorlog,5_5,61,0.17217113707725706
Soldaat_kwam_uit_de_oorlog,5_3_1,52,0.141431179078785
Soldaat_kwam_uit_de_oorlog,10_8,51,0.13871134871188529
Soldaat_kwam_uit_de_oorlog,8_10,45,0.12701149456518965
Soldaat_kwam_uit_de_oorlog,5_6,40,0.11289910628016858
Soldaat_kwam_uit_de_oorlog,8_5,41,0.11151304504288818
Soldaat_kwam_uit_de_oorlog,5_5_3_1_3,17,0.10865383476069689
Soldaat_kwam_uit_de_oorlog,8_6,39,0.10607338430908875
Het_vrouwtje_van_Stavoren_1,10_8,55,0.24152937102892172
Het_vrouwtje_van_Stavoren_1,1_5_8_10_8_3,13,0.18252558792052642
Het_vrouwtje_van_Stavoren_1,8_10,39,0.17772992690277667
Het_vrouwtje_van_Stavoren_1,5_8_10_8_3,13,0.15336318626638945
Het_vrouwtje_van_Stavoren_1,10_8_3,19,0.13248082137338987
Het_vrouwtje_van_Stavoren_1,1_5_8_10_8,14,0.12902311064760077
Het_vrouwtje_van_Stavoren_1,8_1_5_8_10_8,10,0.1277709038521185
Het_vrouwtje_van_Stavoren_1,8_10_8_3,15,0.12502053797909038
Het_vrouwtje_van_Stavoren_1,5_8,27,0.12304379554807615
Het_vrouwtje_van_Stavoren_1,8_3,21,0.11989604244023998
Het_vrouwtje_van_Stavoren_1,10_10,25,0.11823532858557352
Het_vrouwtje_van_Stavoren_1,8_1,26,0.11417752085003571
Het_vrouwtje_van_Stavoren_1,3_5,26,0.11417752085003571
Het_vrouwtje_van_Stavoren_1,8_10_8,23,0.10877650229872765
Het_vrouwtje_van_Stavoren_1,6_6,20,0.09817361219959457
Het_vrouwtje_van_Stavoren_1,8_8,21,0.09222030530195192
Daar_zou_er_een_maagdje_vroeg_opstaan_2,8_8,40,0.1562846684834554
Daar_zou_er_een_maagdje_vroeg_opstaan_2,6_5,38,0.14847043505928262
Daar_zou_er_een_maagdje_vroeg_opstaan_2,8_10_12_1_6_5,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,10_12_1_6,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,10_12_1_6_5_3,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,6_8_10_12_1_6,10,0.14076129078460992
