tunefamily,pattern,frequency,salience
Daar_ging_een_heer_1,5_5,75,0.24555302118616495
Daar_ging_een_heer_1,5_3,73,0.23031285782810115
Daar_ging_een_heer_1,3_5,59,0.1861432686555886
Daar_ging_een_heer_1,5_5_5,42,0.17907206841069345
Daar_ging_een_heer_1,1_3,56,0.1766783566900502
Daar_ging_een_heer_1,3_1,56,0.1766783566900502
Daar_ging_een_heer_1,1_3_5,41,0.13423565158177017
Daar_ging_een_heer_1,8_1_3,34,0.13422725025538368
Daar_ging_een_heer_1,8_1_3_5,30,0.1330260351887969
Daar_ging_een_heer_1,5_3_1,42,0.13250876751753765
Daar_ging_een_heer_1,6_5,41,0.12935379686235818
Daar_ging_een_heer_1,8_1,36,0.11357894358646084
