tunefamily,pattern,frequency,salience
Daar_reed_een_jonkheer_1,3_3_3_3_3,26,0.2756996225044992
Daar_reed_een_jonkheer_1,3_3_3_3,32,0.2650784996313068
Daar_reed_een_jonkheer_1,3_3_3_3_3_3,21,0.2650237234883162
Daar_reed_een_jonkheer_1,3_3,59,0.23288650616136494
Daar_reed_een_jonkheer_1,3_3_3,40,0.23093239447859423
Daar_reed_een_jonkheer_1,1_1,38,0.15565554801514608
Daar_reed_een_jonkheer_1,5_3,37,0.14604746996560172
Daar_reed_een_jonkheer_1,3_5,33,0.1302585542936448
Daar_reed_een_jonkheer_1,3_1,33,0.1302585542936448
Daar_reed_een_jonkheer_1,10_8,32,0.12631132537565556
Daar_reed_een_jonkheer_1,1_12,30,0.11841686753967709
Daar_reed_een_jonkheer_1,1_3,27,0.10657518078570938
