tunefamily,pattern,frequency,salience
Daar_was_laatstmaal_een_ruiter_2,5_5,112,0.294684059064378
Daar_was_laatstmaal_een_ruiter_2,5_5_5,74,0.25355073950340595
Daar_was_laatstmaal_een_ruiter_2,5_5_5_5,54,0.24793931747297496
Daar_was_laatstmaal_een_ruiter_2,5_5_5_5_5,37,0.23490886063615354
Daar_was_laatstmaal_een_ruiter_2,3_3,80,0.2028336067718976
Daar_was_laatstmaal_een_ruiter_2,5_3,69,0.17494398584076168
Daar_was_laatstmaal_een_ruiter_2,8_8,62,0.15719604524822064
Daar_was_laatstmaal_een_ruiter_2,5_5_5_5_5_5,20,0.14753825008046303
Daar_was_laatstmaal_een_ruiter_2,3_3_3,37,0.13720950699159506
Daar_was_laatstmaal_een_ruiter_2,3_5,45,0.11409390380919239
Daar_was_laatstmaal_een_ruiter_2,3_1,44,0.11155848372454368
Daar_was_laatstmaal_een_ruiter_2,6_5,44,0.11155848372454368
Daar_was_laatstmaal_een_ruiter_2,1_1,42,0.11050652214914175
