tunefamily,pattern,frequency,salience
Daar_zou_er_een_maagdje_vroeg_opstaan_2,8_8,40,0.1562846684834554
Daar_zou_er_een_maagdje_vroeg_opstaan_2,6_5,38,0.14847043505928262
Daar_zou_er_een_maagdje_vroeg_opstaan_2,8_10_12_1_6_5,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,10_12_1_6,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,10_12_1_6_5_3,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,6_8_10_12_1_6,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,6_5_6_8_10_12,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,10_12_1_6_5,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,8_10_12_1_6,10,0.14076129078460992
Daar_zou_er_een_maagdje_vroeg_opstaan_2,1_1,33,0.13380089508283702
Daar_zou_er_een_maagdje_vroeg_opstaan_2,3_1,29,0.11330638465050516
Daar_zou_er_een_maagdje_vroeg_opstaan_2,10_8,28,0.10939926793841877
Daar_zou_er_een_maagdje_vroeg_opstaan_2,8_10,26,0.1054188870349625
Daar_zou_er_een_maagdje_vroeg_opstaan_2,12_1,25,0.09767791780215962
Daar_zou_er_een_maagdje_vroeg_opstaan_2,5_6,21,0.08514602414362356
Daar_zou_er_een_maagdje_vroeg_opstaan_2,5_3,20,0.0781423342417277
Daar_zou_er_een_maagdje_vroeg_opstaan_2,8_1,19,0.07423521752964131
