tunefamily,pattern,frequency,salience
Een_Soudaan_had_een_dochtertje_1,10_8,42,0.1608838272941623
Een_Soudaan_had_een_dochtertje_1,8_8,41,0.15705325997763464
Een_Soudaan_had_een_dochtertje_1,10_10,37,0.15263875531793777
Een_Soudaan_had_een_dochtertje_1,10_6_8_10_8,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_10_6_8_10_8,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_10_6_8_10,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_10_6_8,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_6_8_10,11,0.15180379896720086
Een_Soudaan_had_een_dochtertje_1,10_10_10_6_8,10,0.13800345360654623
Een_Soudaan_had_een_dochtertje_1,10_10_10_6_8_10,10,0.13800345360654623
Een_Soudaan_had_een_dochtertje_1,8_10,33,0.1311794280526555
Een_Soudaan_had_een_dochtertje_1,5_3,30,0.11491701949583022
Een_Soudaan_had_een_dochtertje_1,8_5,26,0.09959475022971953
Een_Soudaan_had_een_dochtertje_1,8_1,24,0.09193361559666417
Een_Soudaan_had_een_dochtertje_1,10_8_8,23,0.09142808621851747
Een_Soudaan_had_een_dochtertje_1,3_1,23,0.0881030482801365
Een_Soudaan_had_een_dochtertje_1,6_8,21,0.08663280707234305
