tunefamily,pattern,frequency,salience
Een_lindeboom_stond_in_het_dal_1,8_5_8_1,11,0.15924633911373373
Een_lindeboom_stond_in_het_dal_1,8_5_8,18,0.14985740011806103
Een_lindeboom_stond_in_het_dal_1,6_8_12,8,0.14339603608040424
Een_lindeboom_stond_in_het_dal_1,5_8_5_8,6,0.13316820924248757
Een_lindeboom_stond_in_het_dal_1,5_8_5_8_1,6,0.13316820924248757
Een_lindeboom_stond_in_het_dal_1,5_8_5_8_1_5,6,0.13316820924248757
Een_lindeboom_stond_in_het_dal_1,12_6,6,0.13316820924248757
Een_lindeboom_stond_in_het_dal_1,8_5,21,0.1293724336658253
Een_lindeboom_stond_in_het_dal_1,5_8,19,0.12146880205437813
Een_lindeboom_stond_in_het_dal_1,8_5_8_1_5,6,0.11818077844176467
Een_lindeboom_stond_in_het_dal_1,3_1,19,0.11705124950717526
Een_lindeboom_stond_in_het_dal_1,8_1,17,0.10473006534852522
Een_lindeboom_stond_in_het_dal_1,8_12,11,0.10322521494254643
Een_lindeboom_stond_in_het_dal_1,8_8,16,0.09856947326920021
Een_lindeboom_stond_in_het_dal_1,6_6,12,0.08263446379042301
Een_lindeboom_stond_in_het_dal_1,12_10,12,0.07392710495190016
Een_lindeboom_stond_in_het_dal_1,10_8,11,0.06776651287257515
