tunefamily,pattern,frequency,salience
En_er_waren_eens_twee_zoeteliefjes,3_1_3_5_5,26,0.24918731191700896
En_er_waren_eens_twee_zoeteliefjes,8_8,74,0.22182533915594607
En_er_waren_eens_twee_zoeteliefjes,1_1,52,0.16176012447231194
En_er_waren_eens_twee_zoeteliefjes,1_3,50,0.14988198591617977
En_er_waren_eens_twee_zoeteliefjes,1_3_5_5,27,0.14656994126754488
En_er_waren_eens_twee_zoeteliefjes,5_5,47,0.14620626634997427
En_er_waren_eens_twee_zoeteliefjes,1_3_1_3_5_5,13,0.14039435402047673
En_er_waren_eens_twee_zoeteliefjes,10_10,41,0.1323619888718684
En_er_waren_eens_twee_zoeteliefjes,1_3_1_3_5,13,0.12459365595850448
En_er_waren_eens_twee_zoeteliefjes,1_1_3_1_3_5,13,0.12459365595850448
En_er_waren_eens_twee_zoeteliefjes,6_8,35,0.11299194171988763
En_er_waren_eens_twee_zoeteliefjes,5_6,34,0.10576623523189627
En_er_waren_eens_twee_zoeteliefjes,8_6,35,0.10491739014132584
En_er_waren_eens_twee_zoeteliefjes,3_5,31,0.09292683126803146
En_er_waren_eens_twee_zoeteliefjes,8_10,29,0.0902123771095586
