tunefamily,pattern,frequency,salience
Er_reed_er_eens_een_ruiter_1,5_3,173,0.2800706625068684
Er_reed_er_eens_een_ruiter_1,3_1,109,0.17646070643496334
Er_reed_er_eens_een_ruiter_1,5_5,97,0.16296034828508868
Er_reed_er_eens_een_ruiter_1,5_3_1,91,0.14732040628974002
Er_reed_er_eens_een_ruiter_1,3_5,84,0.1359880673443754
Er_reed_er_eens_een_ruiter_1,8_8,75,0.12141791727176376
Er_reed_er_eens_een_ruiter_1,8_8_1_5_5_5,23,0.11904810709727942
Er_reed_er_eens_een_ruiter_1,5_5_5,54,0.11814042011422977
Er_reed_er_eens_een_ruiter_1,3_1_3_3_5,20,0.1166482875154994
Er_reed_er_eens_een_ruiter_1,1_3_3_5_8,26,0.11307468151322816
Er_reed_er_eens_een_ruiter_1,1_3,69,0.11170448389002266
Er_reed_er_eens_een_ruiter_1,1_5,62,0.10416022261521132
Er_reed_er_eens_een_ruiter_1,6_5,61,0.09875323938103453
Er_reed_er_eens_een_ruiter_1,8_1,60,0.09713433381741102
