tunefamily,pattern,frequency,salience
Er_was_een_herderinnetje_1,8_8,98,0.2175334676751718
Er_was_een_herderinnetje_1,10_8,73,0.16204023612538307
Er_was_een_herderinnetje_1,8_8_8,64,0.15299596397022389
Er_was_een_herderinnetje_1,12_12_10_10_8,25,0.13895934679789795
Er_was_een_herderinnetje_1,12_12_10,32,0.12863279335552216
Er_was_een_herderinnetje_1,8_8_8_8_10_10,16,0.12795193146649644
Er_was_een_herderinnetje_1,10_10,51,0.12191865878877217
Er_was_een_herderinnetje_1,8_8_8_8,39,0.12167032905985652
Er_was_een_herderinnetje_1,12_12_10_10,26,0.12111712877502315
Er_was_een_herderinnetje_1,10_10_8,50,0.11952809685173742
Er_was_een_herderinnetje_1,3_5,53,0.1176456508855521
Er_was_een_herderinnetje_1,5_3,53,0.1176456508855521
Er_was_een_herderinnetje_1,8_1,52,0.11542592162356055
Er_was_een_herderinnetje_1,12_10,48,0.10654700457559435
Er_was_een_herderinnetje_1,1_12,42,0.09322862900364505
