tunefamily,pattern,frequency,salience
Er_was_een_meisje_van_zestien_jaren_1,5_3,89,0.33284572901283166
Er_was_een_meisje_van_zestien_jaren_1,3_1,60,0.22439037910977416
Er_was_een_meisje_van_zestien_jaren_1,5_3_1,60,0.22439037910977416
Er_was_een_meisje_van_zestien_jaren_1,5_3_1_3_5_3,19,0.19088732521671264
Er_was_een_meisje_van_zestien_jaren_1,3_1_3_5_3,19,0.17793211085456745
Er_was_een_meisje_van_zestien_jaren_1,1_3,41,0.15333342572501235
Er_was_een_meisje_van_zestien_jaren_1,8_6,41,0.15333342572501235
Er_was_een_meisje_van_zestien_jaren_1,6_5_3_1,32,0.14975089010532416
Er_was_een_meisje_van_zestien_jaren_1,6_5_3,32,0.14418361333492086
Er_was_een_meisje_van_zestien_jaren_1,6_8_6_5_3_1,14,0.14065381858073564
Er_was_een_meisje_van_zestien_jaren_1,6_5,37,0.13837406711769407
Er_was_een_meisje_van_zestien_jaren_1,1_1,32,0.12419143766057199
Er_was_een_meisje_van_zestien_jaren_1,3_5,31,0.11593502920671665
