tunefamily,pattern,frequency,salience
Er_woonde_een_vrouwtje_al_over_het_bos,8_8,80,0.2203617714209492
Er_woonde_een_vrouwtje_al_over_het_bos,5_3,70,0.19281654999333056
Er_woonde_een_vrouwtje_al_over_het_bos,3_1,65,0.17904393927952122
Er_woonde_een_vrouwtje_al_over_het_bos,8_5,60,0.16527132856571192
Er_woonde_een_vrouwtje_al_over_het_bos,8_5_3_1_6_5,17,0.14971604019213605
Er_woonde_een_vrouwtje_al_over_het_bos,8_5_3_1_6,17,0.14971604019213605
Er_woonde_een_vrouwtje_al_over_het_bos,10_8,51,0.1404806292808551
Er_woonde_een_vrouwtje_al_over_het_bos,3_1_6_5,18,0.13319541723422698
Er_woonde_een_vrouwtje_al_over_het_bos,5_3_1_6_5,18,0.13319541723422698
Er_woonde_een_vrouwtje_al_over_het_bos,5_3_1_6,18,0.13319541723422698
Er_woonde_een_vrouwtje_al_over_het_bos,6_5,47,0.12946254070980767
Er_woonde_een_vrouwtje_al_over_het_bos,8_10,45,0.12863154203395707
Er_woonde_een_vrouwtje_al_over_het_bos,5_8,43,0.12291458461022566
Er_woonde_een_vrouwtje_al_over_het_bos,5_3_1,43,0.1184444521387602
Er_woonde_een_vrouwtje_al_over_het_bos,8_10_8,34,0.10086144317984548
