tunefamily,pattern,frequency,salience
Heer_Halewijn_4,5_3,27,0.20734103465294307
Heer_Halewijn_4,3_1,20,0.15358595159477265
Heer_Halewijn_4,4_2,7,0.1346068884477958
Heer_Halewijn_4,5_5,15,0.1195367518361378
Heer_Halewijn_4,12_10,14,0.10751016611634086
Heer_Halewijn_4,3_3,14,0.10751016611634086
Heer_Halewijn_4,3_5,14,0.10751016611634086
Heer_Halewijn_4,5_3_1,13,0.09983086853660222
Heer_Halewijn_4,1_3,12,0.09215157095686359
Heer_Halewijn_4,10_8,12,0.09215157095686359
Heer_Halewijn_4,1_1,10,0.07969116789075854
