tunefamily,pattern,frequency,salience
Het_vrouwtje_van_Stavoren_1,10_8,55,0.24152937102892172
Het_vrouwtje_van_Stavoren_1,1_5_8_10_8_3,13,0.18252558792052642
Het_vrouwtje_van_Stavoren_1,8_10,39,0.17772992690277667
Het_vrouwtje_van_Stavoren_1,5_8_10_8_3,13,0.15336318626638945
Het_vrouwtje_van_Stavoren_1,10_8_3,19,0.13248082137338987
Het_vrouwtje_van_Stavoren_1,1_5_8_10_8,14,0.12902311064760077
Het_vrouwtje_van_Stavoren_1,8_1_5_8_10_8,10,0.1277709038521185
Het_vrouwtje_van_Stavoren_1,8_10_8_3,15,0.12502053797909038
Het_vrouwtje_van_Stavoren_1,5_8,27,0.12304379554807615
Het_vrouwtje_van_Stavoren_1,8_3,21,0.11989604244023998
Het_vrouwtje_van_Stavoren_1,10_10,25,0.11823532858557352
Het_vrouwtje_van_Stavoren_1,8_1,26,0.11417752085003571
Het_vrouwtje_van_Stavoren_1,3_5,26,0.11417752085003571
Het_vrouwtje_van_Stavoren_1,8_10_8,23,0.10877650229872765
Het_vrouwtje_van_Stavoren_1,6_6,20,0.09817361219959457
Het_vrouwtje_van_Stavoren_1,8_8,21,0.09222030530195192
