tunefamily,pattern,frequency,salience
Het_was_laatst_op_een_zomerdag,8_8,54,0.18736724532774915
Het_was_laatst_op_een_zomerdag,8_10,47,0.16923354983563085
Het_was_laatst_op_een_zomerdag,10_8,48,0.1665486625135548
Het_was_laatst_op_een_zomerdag,12_10_10_8_8_10,15,0.16640421159712904
Het_was_laatst_op_een_zomerdag,10_10_8_8_10_8,13,0.16250626940224666
Het_was_laatst_op_een_zomerdag,10_8_8_10_8_8,14,0.1553105974906538
Het_was_laatst_op_een_zomerdag,8_8_10_8_8_1,13,0.13124052844360284
Het_was_laatst_op_een_zomerdag,1_12_10_10_8_8,16,0.13045905057090915
Het_was_laatst_op_een_zomerdag,10_10_8_8_10,15,0.13032835664484765
Het_was_laatst_op_een_zomerdag,1_1,35,0.12602498392015066
Het_was_laatst_op_een_zomerdag,8_1,36,0.1249114968851661
Het_was_laatst_op_een_zomerdag,1_12,34,0.11797196928043464
Het_was_laatst_op_een_zomerdag,12_1,34,0.11797196928043464
Het_was_laatst_op_een_zomerdag,10_8_8,31,0.11162212861499057
Het_was_laatst_op_een_zomerdag,6_5,31,0.10756267787333748
Het_was_laatst_op_een_zomerdag,5_8,27,0.0972192733098305
