tunefamily,pattern,frequency,salience
Het_was_op_een_driekoningenavond_1,5_3,63,0.2736404060998269
Het_was_op_een_driekoningenavond_1,3_1,48,0.208487928457011
Het_was_op_een_driekoningenavond_1,5_3_1,43,0.18677043590940567
Het_was_op_een_driekoningenavond_1,6_5_3,31,0.16222370480382511
Het_was_op_een_driekoningenavond_1,3_5,37,0.1607094448522793
Het_was_op_een_driekoningenavond_1,6_5,35,0.15202244783323718
Het_was_op_een_driekoningenavond_1,8_6,30,0.13030495528563188
Het_was_op_een_driekoningenavond_1,8_8,30,0.13030495528563188
Het_was_op_een_driekoningenavond_1,8_6_5_3,24,0.1255925456545743
Het_was_op_een_driekoningenavond_1,1_3,28,0.12161795826658975
Het_was_op_een_driekoningenavond_1,8_6_5,28,0.12161795826658975
