tunefamily,pattern,frequency,salience
Ik_kwam_laatst_eens_in_de_stad,8_8,93,0.27719663721900667
Ik_kwam_laatst_eens_in_de_stad,8_8_10_8_8,33,0.21800485926314422
Ik_kwam_laatst_eens_in_de_stad,10_8,73,0.21758445717190847
Ik_kwam_laatst_eens_in_de_stad,8_10_8_8,35,0.18891862167818202
Ik_kwam_laatst_eens_in_de_stad,10_8_8_10_8_8,17,0.16200449808189807
Ik_kwam_laatst_eens_in_de_stad,8_8_10_8_8_10,15,0.16107313963690068
Ik_kwam_laatst_eens_in_de_stad,8_10,47,0.14537561369354335
Ik_kwam_laatst_eens_in_de_stad,8_8_10_8,36,0.13950372428137586
Ik_kwam_laatst_eens_in_de_stad,5_8,45,0.13918941736615853
Ik_kwam_laatst_eens_in_de_stad,10_10,41,0.1316099907502303
Ik_kwam_laatst_eens_in_de_stad,10_8_8,42,0.1299101228750813
Ik_kwam_laatst_eens_in_de_stad,8_8_10,38,0.12660361879276663
Ik_kwam_laatst_eens_in_de_stad,8_10_8,39,0.1251899912014386
