tunefamily,pattern,frequency,salience
O_God_ik_leef_in_nood,12_12_12,16,0.15314353654119037
O_God_ik_leef_in_nood,12_12,25,0.14893505585455583
O_God_ik_leef_in_nood,12_3,21,0.14805139673421164
O_God_ik_leef_in_nood,10_8,33,0.13441208265689847
O_God_ik_leef_in_nood,12_12_12_12,9,0.13206682466921071
O_God_ik_leef_in_nood,8_1,32,0.13033898924305307
O_God_ik_leef_in_nood,1_12,26,0.10590042875998061
O_God_ik_leef_in_nood,3_1,25,0.1018273353461352
O_God_ik_leef_in_nood,12_10,23,0.09368114851844438
O_God_ik_leef_in_nood,10_10,21,0.09211782139601281
O_God_ik_leef_in_nood,8_6,21,0.08553496169075357
O_God_ik_leef_in_nood,5_3,20,0.08146186827690816
