tunefamily,pattern,frequency,salience
Soldaat_kwam_uit_de_oorlog,5_3,77,0.20942693825127778
Soldaat_kwam_uit_de_oorlog,8_8,72,0.19582778641677923
Soldaat_kwam_uit_de_oorlog,3_1,67,0.18222863458228067
Soldaat_kwam_uit_de_oorlog,5_5,61,0.17217113707725706
Soldaat_kwam_uit_de_oorlog,5_3_1,52,0.141431179078785
Soldaat_kwam_uit_de_oorlog,10_8,51,0.13871134871188529
Soldaat_kwam_uit_de_oorlog,8_10,45,0.12701149456518965
Soldaat_kwam_uit_de_oorlog,5_6,40,0.11289910628016858
Soldaat_kwam_uit_de_oorlog,8_5,41,0.11151304504288818
Soldaat_kwam_uit_de_oorlog,5_5_3_1_3,17,0.10865383476069689
Soldaat_kwam_uit_de_oorlog,8_6,39,0.10607338430908875
