tunefamily,pattern,frequency,salience
Vaarwel_bruidje_schoon,8_10_10_8_10,23,0.21937473732112125
Vaarwel_bruidje_schoon,10_8,66,0.1968926800617561
Vaarwel_bruidje_schoon,10_10_8_10_10,16,0.17196199456920963
Vaarwel_bruidje_schoon,8_10_10_8_10_10,16,0.17196199456920963
Vaarwel_bruidje_schoon,8_10,53,0.16407794155135688
Vaarwel_bruidje_schoon,10_8_10_10,16,0.15260851291904087
Vaarwel_bruidje_schoon,1_5_8_1_8,13,0.13971912058748281
Vaarwel_bruidje_schoon,10_10_8_10,23,0.1367652079302176
Vaarwel_bruidje_schoon,8_10_10,30,0.11635503525824738
Vaarwel_bruidje_schoon,8_1,37,0.11037922973159053
Vaarwel_bruidje_schoon,8_6,35,0.10441278488123429
Vaarwel_bruidje_schoon,1_8,33,0.09844634003087804
Vaarwel_bruidje_schoon,10_10,30,0.09638442986881429
Vaarwel_bruidje_schoon,5_8,28,0.08668268610260363
Vaarwel_bruidje_schoon,3_1,29,0.08651345033016555
Vaarwel_bruidje_schoon,10_10_8,24,0.07710754389505145
