tunefamily,pattern,frequency,salience
Wat_zag_ik_daar_van_verre_1,10_8,47,0.1632664757173536
Wat_zag_ik_daar_van_verre_1,3_5,42,0.14589770170486915
Wat_zag_ik_daar_van_verre_1,5_3,41,0.14242394690237228
Wat_zag_ik_daar_van_verre_1,3_10_8_6_5_3,11,0.13766346656390263
Wat_zag_ik_daar_van_verre_1,10_10_8_5_1,13,0.13139148424234476
Wat_zag_ik_daar_van_verre_1,3_5_6_8_10_10,13,0.13139148424234476
Wat_zag_ik_daar_van_verre_1,8_6,37,0.12852892769238475
Wat_zag_ik_daar_van_verre_1,6_5_3,30,0.12555481130851506
Wat_zag_ik_daar_van_verre_1,8_6_5_3,30,0.12555481130851506
Wat_zag_ik_daar_van_verre_1,3_5_6_8_10,17,0.12393109677777704
Wat_zag_ik_daar_van_verre_1,1_3,35,0.12158141808739097
Wat_zag_ik_daar_van_verre_1,3_5_6,31,0.12037002983608817
Wat_zag_ik_daar_van_verre_1,6_8,32,0.11971515483995747
Wat_zag_ik_daar_van_verre_1,6_5,34,0.11810766328489408
Wat_zag_ik_daar_van_verre_1,5_6,32,0.11535537433840345
Wat_zag_ik_daar_van_verre_1,8_6_5,32,0.11116015367990031
