tunefamily,pattern,frequency,salience
Zolang_de_boom_zal_bloeien_1,12_10,70,0.20014617141591606
Zolang_de_boom_zal_bloeien_1,8_1,57,0.16297616815296023
Zolang_de_boom_zal_bloeien_1,1_12,54,0.1543984750922781
Zolang_de_boom_zal_bloeien_1,10_8_10_12_1,21,0.15035445116817153
Zolang_de_boom_zal_bloeien_1,12_10_8_10_12_1,21,0.15035445116817153
Zolang_de_boom_zal_bloeien_1,5_8_1,36,0.1446677796582029
Zolang_de_boom_zal_bloeien_1,8_5_8_1,21,0.14109865065159558
Zolang_de_boom_zal_bloeien_1,10_8,48,0.1372430889709139
Zolang_de_boom_zal_bloeien_1,1_12_10_8_10_12,18,0.12887524385843274
Zolang_de_boom_zal_bloeien_1,12_10_8_10_12,21,0.12600876445899464
Zolang_de_boom_zal_bloeien_1,12_10_8,39,0.1157184341316699
Zolang_de_boom_zal_bloeien_1,10_12,37,0.11393337540653306
Zolang_de_boom_zal_bloeien_1,5_8,38,0.1127512947949604
Zolang_de_boom_zal_bloeien_1,12_1,39,0.11151000978886753
Zolang_de_boom_zal_bloeien_1,1_12_10,38,0.10865077876864015
