song_id,pattern,frequency,salience
NLB073743_01,8_1_3_5_8,3,0.23632069633002672
NLB073743_01,3_8_1_3_5_8,2,0.18902331003691591
NLB073743_01,8_1_3_5_8_6,2,0.18902331003691591
NLB073743_01,8_6_5_3_8_1,2,0.18135794122649607
NLB073743_01,6_5_3_8_1,2,0.18135794122649607
NLB073743_01,6_5_3_8_1_3,2,0.18135794122649607
NLB073743_01,1_3_5_8_6_5,2,0.17509487887634256
NLB073743_01,1_3_5,4,0.10893437999556592
NLB073743_01,3_5,5,0.10120459491466188
NLB073743_01,5_3,5,0.09650149113056812
NLB073743_01,1_3,4,0.08616022920282236
NLB073743_01,5_8,3,0.06784763298808538
NLB073743_01,8_6,3,0.06706984302035388
NLB073743_01,8_1,3,0.06123717992687262
