song_id,pattern,frequency,salience
NLB072912_01,3_5_3_3_5_3,4,0.24142068078308299
NLB072912_01,3_5_3_3_5,4,0.23163046730992165
NLB072912_01,5_3_3_5_3,4,0.2110095000609195
NLB072912_01,3_5_3_3,4,0.1970376420770646
NLB072912_01,10_8_1_1_3_5,3,0.19053184588509503
NLB072912_01,8_1_1_3_5_3,3,0.17372285048244124
NLB072912_01,12_10_8_1_1_3,3,0.17372285048244124
NLB072912_01,3_5_3,7,0.16595835767683267
NLB072912_01,5_3_3,4,0.10630552319246662
NLB072912_01,1_1,6,0.10305147760363795
NLB072912_01,3_5,7,0.09048099696556725
NLB072912_01,5_3,7,0.08627623215645794
NLB072912_01,3_3,4,0.06764372765452606
NLB072912_01,3_1,4,0.04930070408940453
