song_id,pattern,frequency,salience
NLB071016_01,10_10_8_12_3,3,0.1487648963341918
NLB071016_01,1_3_5_3_12,3,0.14512164594654198
NLB071016_01,10_10_8_12,3,0.14186264742120933
NLB071016_01,8_12_3,3,0.14186264742120933
NLB071016_01,10_8_12_3,3,0.14186264742120933
NLB071016_01,1_3_5_3_12_8,2,0.12776372212462286
NLB071016_01,3_1_3_5_3_12,2,0.12776372212462286
NLB071016_01,10_8,8,0.09585006855284604
NLB071016_01,10_10,5,0.08491475327421917
NLB071016_01,12_10,5,0.07368449712553156
NLB071016_01,1_3,5,0.0646521781997302
NLB071016_01,8_1,5,0.061267510632410135
NLB071016_01,3_5,5,0.06075283286121896
NLB071016_01,5_3,5,0.05792957292559107
