song_id,pattern,frequency,salience
NLB073146_01,10_6,2,0.09957278076885356
NLB073146_01,1_1_5_8_12_12,1,0.09935395730171125
NLB073146_01,3_1_5_10_8_3,1,0.09935395730171125
NLB073146_01,5_3_1_5_10_8,1,0.09935395730171125
NLB073146_01,6_5_3_1_5_10,1,0.09935395730171125
NLB073146_01,5_3_10_10_8,1,0.09935395730171125
NLB073146_01,5_5_3_10_10,1,0.09935395730171125
NLB073146_01,6_8,3,0.08349493207702992
NLB073146_01,6_5,3,0.0573339164210836
NLB073146_01,3_5,3,0.05669247196318121
NLB073146_01,10_8,3,0.05590250968743256
NLB073146_01,5_3,3,0.05405790206401315
NLB073146_01,5_6,2,0.0488421269669191
NLB073146_01,1_5,2,0.046809752694146875
