song_id,pattern,frequency,salience
NLB075742_01,8_8,13,0.18387789035473417
NLB075742_01,8_8_10_8_8_6,3,0.16988741736360854
NLB075742_01,8_10_8_8_6,3,0.15657189549468056
NLB075742_01,10_8_8_6_6_5,2,0.1328344388418685
NLB075742_01,8_10_8_8_6_6,2,0.1328344388418685
NLB075742_01,6_5_8_1_1_1,2,0.1328344388418685
NLB075742_01,8_8_6_5_8_1,2,0.1328344388418685
NLB075742_01,1_1,5,0.09450160576483524
NLB075742_01,8_8_8,4,0.09036216599607975
NLB075742_01,5_8,5,0.07946552776093455
NLB075742_01,6_5,5,0.07192531414508545
NLB075742_01,10_8,5,0.07012961649500511
NLB075742_01,8_6,4,0.06284364229350668
