song_id,pattern,frequency,salience
NLB072881_01,5_3,6,0.14858849332384919
NLB072881_01,8_8_5_3_6_6,1,0.13654668658563326
NLB072881_01,1_8_8_5_3_6,1,0.13654668658563326
NLB072881_01,3_1_8_8_5_3,1,0.12761070808300432
NLB072881_01,1_5_3_1_12_1,1,0.12127053043611521
NLB072881_01,5_3_1,4,0.1187994052770368
NLB072881_01,1_8_8_5_3,1,0.11635270658969901
NLB072881_01,6_5_3,3,0.1016223776476299
NLB072881_01,3_1,4,0.0990589955492328
NLB072881_01,6_5,3,0.07879662299210455
NLB072881_01,3_5,3,0.07791505654287585
NLB072881_01,8_8,3,0.07747864238964317
