song_id,pattern,frequency,salience
NLB075831_01,8_8,7,0.1648253748257133
NLB075831_01,10_8,6,0.14009498269656753
NLB075831_01,8_8_1_12,2,0.13632866215654643
NLB075831_01,1_12_10_10_8_6,1,0.1244934351502637
NLB075831_01,10_8_10_8_8_10,1,0.1244934351502637
NLB075831_01,10_8_8_8_1_12,1,0.1244934351502637
NLB075831_01,8_1_12_12_10_8,1,0.11634625349365486
NLB075831_01,10_8_8,3,0.1093305699776526
NLB075831_01,8_10_8,3,0.10156449006652549
NLB075831_01,8_10,3,0.07914370192284143
NLB075831_01,8_5,2,0.05709818490506714
NLB075831_01,5_8,2,0.05291497987603494
