song_id,pattern,frequency,salience
NLB073991_02,10_8_5_1_8_8,2,0.1596117975070794
NLB073991_02,10_10_8_5_1_8,2,0.1596117975070794
NLB073991_02,3_10_8_6_5_3,2,0.14943932883020544
NLB073991_02,8_5_1_8_8,2,0.14943932883020544
NLB073991_02,1_3_10_8_6_5,2,0.14540231251500355
NLB073991_02,1_3_10_8_6,2,0.14184141176160647
NLB073991_02,3_10_8_6_5,2,0.14184141176160647
NLB073991_02,10_8,4,0.07026265250941913
NLB073991_02,6_5_3,3,0.06970241964580763
NLB073991_02,8_6_5,3,0.0661884337883777
NLB073991_02,8_5,3,0.06443276666505182
NLB073991_02,8_6,3,0.05902767825108241
NLB073991_02,6_5,3,0.0540463174509897
NLB073991_02,5_3,3,0.05095815388274757
